nik,section,sub_section,dedicated
10828,Operator Forklift,Operator Forklift,1
10833,Operator Forklift,Operator Forklift,1
10834,RM/PM,Checker,1
10834,RM/PM,Buffer Room,0
10838,Operator Forklift,Operator Forklift,1
10843,Operator Forklift,Operator Forklift,1
10844,RM/PM,Checker,1
10844,RM/PM,Buffer Room,0
10845,Operator Forklift,Operator Forklift,1
10850,Operator Forklift,Operator Forklift,1
10855,Operator Forklift,Operator Forklift,1
10858,Operator Forklift,Operator Forklift,1
10859,Operator Forklift,Operator Forklift,1
10861,RM/PM,Checker,1
10861,RM/PM,Buffer Room,0
10864,Operator Forklift,Operator Forklift,1
10866,Operator Forklift,Operator Forklift,1
10871,Operator Forklift,Operator Forklift,1
10873,Operator Forklift,Operator Forklift,1
10879,RM/PM,Buffer Room,1
10879,RM/PM,Penimbangan,0
10880,Inspeksi,Camera Offline,1
10880,Inspeksi,Meja,0
10880,Inspeksi,Shrink,0
10880,Inspeksi,Repallet,0
10880,Inspeksi,Pembuatan Partisi,0
10880,Inspeksi,Cleaning Pallet,0
10884,Loader,Loader,1
10884,Loader,Bongkar Material/Cap/Juice,0
10896,Inspeksi,Camera Offline,1
10896,Inspeksi,Meja,0
10896,Inspeksi,Cluster,0
10896,Inspeksi,Stickering,0
10896,Inspeksi,Rework,0
10898,RM/PM,Admin RM/PM,1
10901,Inspeksi,Camera Offline,1
10901,Inspeksi,Meja,0
10901,Inspeksi,Shrink,0
10901,Inspeksi,Cluster,0
10901,Inspeksi,Stickering,0
10901,Inspeksi,Rework,0
10902,Inspeksi,Camera Offline,1
10902,Inspeksi,Meja,0
10902,Inspeksi,Shrink,0
10902,Inspeksi,Cluster,0
10902,Inspeksi,Stickering,0
10902,Inspeksi,Rework,0
10903,Inspeksi,Camera Offline,1
10903,Inspeksi,Meja,0
10903,Inspeksi,Shrink,0
10903,Inspeksi,Cluster,0
10903,Inspeksi,Stickering,0
10903,Inspeksi,Rework,0
10909,Finished goods,Penandaan,1
10909,Finished goods,Meja,0
10909,Finished goods,Camera Offline,0
10909,Finished goods,rework,0
10909,Finished goods,shrink,0
10909,Finished goods,cluster,0
10909,Finished goods,stickering,0
10910,Delivery,Dispatcer,1
10910,Delivery,Loader,0
10921,Delivery,Dispatcer,1
10921,Delivery,Loader,0
10924,Inspeksi,Camera Offline,1
10924,Inspeksi,Meja,0
10924,Inspeksi,Cluster,0
10924,Inspeksi,Stickering,0
10924,Inspeksi,Rework,0
10928,RM/PM,Buffer Room,1
10928,RM/PM,Penimbangan,0
10933,Operator Forklift,Operator Forklift,1
10933,Operator Forklift,Dispatcer,0
